"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","°C","V","g","g","g","deg/s","deg/s","deg/s","%","%","%","%","%","#","#","#","#","#","gear","#","#","#","#","%","%","%","%","#","#","#","#","bar","km/h","km/h","#","#","deg","bar","km/h","km/h","#","#","rpm","%","°C","bar","ms","bar","°C","bar","bar","°C","deg","ms","lambda","%","°C","V","#","%","%","km/h","g","°C","°C","g","°C","°C","g","°C","°C","g","°C","°C","km/h","#","g","g","deg","deg","deg/s","m","#","#","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87",

"191.400","2.051","33.203201","14.281247","0.054717","-0.978273","-1.199429","1.035633","-7.826801","32.121243","71.699936","48.155949","47.574577","50.259365","50.271851","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","24.000000","25.699245","20.698437","19.599680","50.000000","50.000000","100.000000","50.000000","1.599826","152.265594","0.010000","353.538330","357.599884","40.198833","0.699818","646.152161","605.990906","358.299896","354.099884","6138.282715","24.419928","25.000000","0.679750","3.990384","0.098000","104.000000","2.813221","0.003063","83.000000","39.537460","1.972154","1.189822","100.000000","30.604023","14.275980","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","50.860001","14.000000","0.985938","0.018865","3.585775","-3.228779","39.269058","683.308228","0.780000","0.144000","47.221449849692","14.763563898384","684.95"
"191.500","2.053","33.211906","14.277813","-0.009795","-0.956258","-1.112309","0.132479","0.136654","29.627583","71.199966","48.899063","49.102005","50.272488","50.277473","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","24.000000","25.798580","20.799999","21.999771","50.000000","50.000000","100.000000","50.000000","1.479707","83.048660","0.012500","353.399994","357.599884","47.079895","0.699818","600.163269","507.272736","358.299896","354.099884","6138.781738","25.571678","25.000000","0.719875","3.803576","0.098000","104.000000","2.828814","0.003014","83.000000","39.541988","1.977568","1.054960","100.000000","31.000000","14.292719","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","51.020000","14.000000","0.912264","0.132563","3.781727","1.309047","35.835896","683.383179","0.780000","0.140000","47.221462704131","14.763564338638","685.02"
"191.600","2.054","33.220608","14.274378","-0.127922","-1.043684","-0.881302","-2.491698","-5.194287","39.008495","72.568390","48.967728","49.758144","50.268112","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","24.000000","24.999084","22.199680","22.198444","50.000000","50.000000","100.000000","50.000000","1.979519","83.048660","0.015000","353.519958","357.599884","53.598442","0.699818","554.174316","329.595001","358.299896","354.099884","6295.996094","25.102007","25.000000","0.719350","3.489119","0.098000","104.000000","2.874435","0.002983","83.000000","40.463936","1.972450","0.907083","100.000000","31.000000","14.234752","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","51.700001","14.000000","0.935590","0.237976","3.906632","5.739156","35.895481","683.478455","0.780000","0.146000","47.221475733870","14.763565997544","685.12"
"191.700","2.056","33.229313","14.270944","0.010317","-1.328131","-0.885075","-2.682734","9.223331","44.243202","74.337303","48.911270","50.115204","50.266869","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","22.999222","24.798809","20.398504","21.000000","50.000000","50.000000","100.000000","50.000000","0.999817","83.048660","0.015000","353.532196","357.599884","61.039299","0.419690","508.185364","394.745972","358.299896","354.099884","6678.781738","24.998856","25.000000","0.706322","3.343792","0.098000","104.000000","3.136330","0.003067","83.000000","40.584789","1.977690","0.920868","100.000000","31.000000","14.095005","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","52.700001","14.000000","1.082174","0.286285","3.946739","10.024880","40.662491","683.580505","0.780000","0.150000","47.221488984443","14.763569037496","685.23"
"191.800","2.057","33.238014","14.267509","0.106610","-1.381016","-1.044547","-7.777577","-7.434009","56.310734","87.324348","48.326847","48.805981","50.258747","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","34.000000","35.198673","27.799984","28.398947","50.000000","50.000000","100.000000","50.000000","1.719945","83.048660","0.013000","353.599854","357.599884","48.678341","0.239966","462.196411","264.444000","358.299896","354.099884","6888.944824","29.535362","25.000000","0.725839","3.810896","0.098000","104.000000","3.332596","0.003142","83.000000","40.502155","1.965388","0.966208","100.000000","31.000000","14.220535","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","53.760002","14.000000","1.243927","0.243457","3.987992","14.014959","45.805359","683.678955","0.780000","0.150000","47.221502329754","14.763573609013","685.32"
"191.900","2.059","33.247807","14.267200","0.182491","-1.443353","-1.104508","-7.150743","1.343278","55.202438","90.461693","49.924469","49.211872","50.250000","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","16.000000","16.999313","16.399420","15.398718","50.000000","50.000000","100.000000","50.000000","1.719945","83.048660","0.015000","353.599854","357.599884","44.867702","0.507544","416.207489","585.545349","358.299896","354.099884","7053.513672","25.107195","25.000000","0.686311","3.393718","0.098000","104.000000","3.324120","0.003123","83.000000","41.877445","1.949988","0.982960","100.000000","30.975758","14.266047","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","54.560001","14.000000","1.330220","0.136132","4.059039","17.523752","48.308041","683.793030","0.780000","0.162000","47.221515475525","14.763579709201","685.43"
"192.000","2.060","33.258327","14.268974","0.041194","-1.176174","-0.981448","-7.172064","-7.946522","46.046650","79.199448","49.846645","50.171665","50.250000","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","16.999222","17.199589","14.799787","14.198672","50.000000","50.000000","100.000000","50.000000","2.359799","166.110001","0.005000","353.599854","357.599884","4.729572","0.737972","370.218536","352.863190","358.299896","354.099884","6986.520996","16.009766","25.000000","0.622401","2.623735","0.098000","104.000000","3.330750","0.003033","83.000000","42.596664","1.949988","0.957162","100.000000","30.413822","13.996247","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","54.680000","14.000000","1.352909","0.068321","4.094562","20.475632","49.348530","683.926941","0.780000","0.188000","47.221528165328","14.763587442443","685.57"
"192.100","2.062","33.268951","14.270766","-0.209160","-0.598782","-0.755504","-6.384640","9.398877","2.114821","71.553192","47.701611","51.620583","50.250000","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","12.080000","13.899703","8.999527","6.138659","50.000000","50.000000","100.000000","50.000000","2.495563","165.187042","0.005167","353.599854","357.599884","9.924176","0.749619","323.769684","117.854248","358.299896","354.099884","6741.066895","13.318471","25.000000","0.601767","2.464505","0.098000","104.000000","3.289847","0.002879","83.000000","40.823486","1.942291","0.941464","100.000000","30.629490","14.075244","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","54.844002","14.000000","1.246093","0.128784","4.072389","22.901649","46.206661","684.061646","0.780000","0.218300","47.221540468189","14.763597100569","685.71"
"192.200","2.063","33.279469","14.272540","-0.140454","0.074035","-1.042983","3.093655","-5.530447","-24.505245","81.446014","47.674450","50.246204","50.250000","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","30.559223","32.818607","19.978760","21.059601","50.000000","50.000000","100.000000","50.000000","1.779653","141.191589","0.008000","353.532684","357.599884","7.611660","0.773063","277.780762","412.988251","358.299896","354.099884","6517.079590","22.187321","25.000000","0.663579","3.540028","0.098000","104.000000","3.179794","0.002189","83.000000","40.127789","1.922579","0.964140","100.000000","31.000000","14.257984","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","55.610001","14.000000","0.822720","0.197424","4.039272","24.719872","30.406319","684.178650","0.786100","0.242200","47.221552346317","14.763608178404","685.82"
"192.300","2.065","33.289989","14.274315","-0.274403","0.467918","-1.027370","-1.417380","8.700865","-16.523554","77.045219","48.939041","48.957504","50.255714","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","37.499298","39.398830","26.818621","27.178875","50.000000","50.000000","100.000000","50.000000","1.279958","117.934425","0.014500","353.596497","357.599884","4.173657","0.168127","418.474121","590.198975","358.313446","354.099884","6325.786621","41.891266","25.000000","0.772222","4.886384","0.098000","104.000000","3.052600","0.001079","83.000000","39.813885","1.943848","0.969255","100.000000","31.000000","14.106992","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","56.366001","14.000000","0.188329","0.109734","4.028099","25.874840","6.349195","684.284485","0.790000","0.225600","47.221564228213","14.763619682539","685.93"
"192.400","2.066","33.300507","14.276089","0.109702","0.578417","-0.915836","0.222027","3.260628","-12.342097","84.505676","49.153507","49.474861","50.266994","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","63.099922","64.079720","63.919651","67.379608","50.000000","50.000000","100.000000","50.000000","3.175612","144.514053","0.010500","353.399994","357.599884","5.219896","1.019556","642.321045","68.990997","358.399780","354.099884","6229.945313","63.772198","25.000000","0.872662","5.758937","0.098000","104.000000","2.710365","0.001333","83.000000","38.652283","1.969124","1.050661","100.000000","30.956848","14.033185","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","56.539001","14.000000","-0.277146","-0.024588","3.979168","26.302841","-10.822350","684.383850","0.790000","0.210000","47.221576266427","14.763630587976","686.03"
"192.500","2.068","33.311024","14.277864","-0.328876","0.396930","-1.070910","7.013887","-22.239241","-19.615149","74.979309","49.323338","49.477531","50.277584","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","100.000000","101.999084","90.599892","94.719185","50.000000","50.000000","100.000000","50.000000","4.057051","120.887321","0.012000","353.399994","357.599884","5.464721","1.187834","655.349976","420.806366","358.399780","354.099884","6832.170898","87.218643","25.000000","0.915742","6.061526","0.098000","104.000000","2.058421","0.002680","83.000000","38.699680","1.936898","1.433662","100.000000","30.411697","14.210661","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","56.195000","14.000000","-0.459592","0.006590","3.850024","25.965025","-17.122593","684.476624","0.790000","0.197800","47.221588456061","14.763640708514","686.12"
"192.600","2.069","33.321545","14.279637","-0.870587","0.604952","-1.160060","-0.888323","-3.970444","-22.932854","98.170799","49.689175","50.358738","50.267895","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","94.999222","96.339157","96.258598","99.438774","50.000000","50.000000","100.000000","50.000000","0.499419","123.748718","0.012750","353.544708","357.618530","8.300946","0.000000","655.349976","565.516479","358.353394","354.099884","7045.574707","98.806229","25.000000","0.919996","5.539317","0.098000","104.000000","1.527409","0.003222","83.000000","39.851967","1.935950","1.518194","100.000000","30.641510","14.107800","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","56.305000","14.000000","-0.566905","0.225090","3.675615","24.861965","-20.792732","684.572144","0.802200","0.196100","47.221600975819","14.763650349518","686.21"
"192.700","2.071","33.332062","14.281412","-0.879239","0.730831","-1.035744","4.376235","-3.970646","-25.177765","99.849968","49.253147","49.671093","50.272705","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","100.000000","100.999313","99.079536","100.079491","50.000000","50.000000","100.000000","50.000000","1.199507","103.814758","0.014000","353.569885","357.682983","8.584722","0.462814","655.349976","430.940979","358.399780","354.099884","7038.281250","100.000000","25.000000","0.919996","5.100364","0.098000","104.000000","1.505675","0.003240","83.000000","40.139488","1.949988","1.112450","100.000000","31.000000","14.118697","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","57.659000","14.000000","-0.724400","0.465749","3.523724","23.058523","-26.144844","684.677002","0.810000","0.200000","47.221614187629","14.763659571170","686.32"
"192.800","2.073","33.342583","14.283186","-0.727607","0.736964","-1.080963","4.206777","8.992768","-23.613045","83.307571","49.716640","49.740063","50.262180","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","86.999222","89.739876","91.279739","95.019272","50.000000","50.000000","100.000000","50.000000","1.214215","88.585915","0.012250","353.599854","357.599884","10.911907","0.000000","647.932373","495.074432","358.399780","354.099884","7298.671875","97.827515","25.000000","0.941710","5.025490","0.098000","104.000000","2.080920","0.003294","83.000000","39.820797","1.958924","0.910370","100.000000","31.000000","14.217325","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","59.863998","14.000000","-0.852667","0.569059","3.440875","20.723263","-29.591072","684.789429","0.810000","0.187800","47.221628271644","14.763668129286","686.43"
"192.900","2.074","33.341618","14.284326","-0.787855","0.769310","-1.014467","2.454411","1.681053","-28.543465","93.914192","49.655682","49.892807","50.263340","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","80.999222","82.998627","84.939438","86.159439","50.000000","50.000000","100.000000","50.000000","2.796504","141.190094","0.009500","353.453918","357.672882","7.365486","0.945157","624.004578","410.783142","358.399780","354.099884","7582.295410","92.606438","25.000000","0.936345","5.043257","0.098000","104.000000","2.914938","0.003275","83.000000","39.184013","1.977054","0.933753","100.000000","31.000000","14.037646","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","61.836998","14.000000","-0.902532","0.555191","3.441734","18.094877","-29.849819","684.901917","0.810000","0.180000","47.221643100362","14.763675820807","686.55"
"193.000","2.076","33.333309","14.285059","-0.839434","0.890662","-1.141852","1.782589","0.020094","-27.301212","89.985947","49.180363","49.266346","50.277584","50.281223","0.000000","3.000000","0.000000","0.000000","0.000000","2.000000","4095.000000","2389.986328","0.000000","0.000000","98.739922","99.999542","92.879372","96.339157","50.000000","50.000000","100.000000","50.000000","2.309466","165.318924","0.005143","353.423645","357.699921","7.398703","0.739579","600.076721","589.196472","358.399780","354.099884","7720.104004","95.578316","25.000000","0.949298","5.491840","0.098000","104.000000","3.591610","0.003241","83.000000","38.544029","1.963640","0.933195","100.000000","31.000000","13.990940","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","63.659000","14.000000","-0.931727","0.533484","3.490092","15.369546","-29.661661","685.005127","0.810000","0.173900","47.221658567528","14.763682561011","686.65"
